"probeID" "Ensembl"
"220418_at.2979" "220418_at" "ENSG00000160185"
"220419_s_at.2990" "220419_s_at" "ENSG00000155313"
"220459_at.3001" "220459_at" "ENSG00000215424"
"220543_at.3012" "220543_at" "ENSG00000205929"
"220604_x_at.3023" "220604_x_at" "ENSG00000160282"
"220826_at.1" "220826_at" "ENSG00000186842"
"220941_s_at.3046" "220941_s_at" "ENSG00000154642"
"221017_s_at.3057" "221017_s_at" "ENSG00000160233"
"221095_s_at.3068" "221095_s_at" "ENSG00000159197"
"221158_at.1" "221158_at" "ENSG00000159086"
"221211_s_at.3091" "221211_s_at" "ENSG00000156265"
"221215_s_at.3102" "221215_s_at" "ENSG00000183421"
"221328_at.3113" "221328_at" "ENSG00000156282"
"221632_s_at.3135" "221632_s_at" "ENSG00000160193"
"221689_s_at.1" "221689_s_at" "ENSG00000185808"
"221883_at.3159" "221883_at" "ENSG00000160199"
"221975_s_at.1" "221975_s_at" "ENSG00000184441"
"222079_at.3182" "222079_at" "ENSG00000157554"
"222162_s_at.3193" "222162_s_at" "ENSG00000154734"
"222310_at.3204" "222310_at" "ENSG00000156304"
"222311_s_at.3215" "222311_s_at" "ENSG00000156304"
"222446_s_at.3258" "222446_s_at" "ENSG00000182240"
"222486_s_at.3269" "222486_s_at" "ENSG00000154734"
"222492_at.3280" "222492_at" "ENSG00000160209"
"222616_s_at.1" "222616_s_at" "ENSG00000156256"
"222733_x_at.1" "222733_x_at" "ENSG00000160214"
"222907_x_at.1" "222907_x_at" "ENSG00000142188"
"223167_s_at.3350" "223167_s_at" "ENSG00000155313"
"223182_s_at.3361" "223182_s_at" "ENSG00000160216"
"223184_s_at.3383" "223184_s_at" "ENSG00000160216"
"223360_at.3394" "223360_at" "ENSG00000160284"
"223702_x_at.3405" "223702_x_at" "ENSG00000160282"
"223768_at.3416" "223768_at" "ENSG00000235374"
"223923_at.3427" "223923_at" "ENSG00000279690"
"223948_s_at.3438" "223948_s_at" "ENSG00000160183"
"223949_at.3449" "223949_at" "ENSG00000160183"
"223951_at.3460" "223951_at" "ENSG00000279390"
"223979_x_at.3471" "223979_x_at" "ENSG00000160282"
"224054_at.1" "224054_at" "ENSG00000273115"
"224282_s_at.1" "224282_s_at" "ENSG00000160216"
"224299_x_at.3506" "224299_x_at" "ENSG00000160282"
"224300_x_at.3517" "224300_x_at" "ENSG00000160282"
"224919_at.1" "224919_at" "ENSG00000243927"
"224919_at.2" "224919_at" "ENSG00000272657"
"225182_at.3540" "225182_at" "ENSG00000142188"
"225440_at.3551" "225440_at" "ENSG00000160216"
"225446_at.1" "225446_at" "ENSG00000185658"
"225539_at.3577" "225539_at" "ENSG00000173276"
"225661_at.3588" "225661_at" "ENSG00000142166"
"225669_at.3599" "225669_at" "ENSG00000142166"
"226082_s_at.3610" "226082_s_at" "ENSG00000156304"
"226109_at.3621" "226109_at" "ENSG00000154642"
"226151_x_at.1" "226151_x_at" "ENSG00000205758"
"226209_at.3646" "226209_at" "ENSG00000160194"
"226374_at.1" "226374_at" "ENSG00000154639"
"226465_s_at.3672" "226465_s_at" "ENSG00000159140"
"226553_at.1" "226553_at" "ENSG00000184012"
"226616_s_at.3707" "226616_s_at" "ENSG00000160194"
"226882_x_at.1" "226882_x_at" "ENSG00000160193"
"226995_at.3730" "226995_at" "ENSG00000223768"
"227051_at.3741" "227051_at" "ENSG00000182240"
"227125_at.3752" "227125_at" "ENSG00000159110"
"227188_at.3763" "227188_at" "ENSG00000166979"
"227194_at.1" "227194_at" "ENSG00000183844"
"227199_at.3786" "227199_at" "ENSG00000160305"
"227421_at.3797" "227421_at" "ENSG00000182362"
"227424_x_at.3808" "227424_x_at" "ENSG00000256073"
"227428_at.1" "227428_at" "ENSG00000154727"
"227519_at.3835" "227519_at" "ENSG00000280109"
"227742_at.3846" "227742_at" "ENSG00000159212"
"228001_at.1" "228001_at" "ENSG00000142188"
"228170_at.3871" "228170_at" "ENSG00000184221"
"228597_at.3882" "228597_at" "ENSG00000159055"
"228665_at.3893" "228665_at" "ENSG00000166265"
"228722_at.3904" "228722_at" "ENSG00000160310"
"228725_x_at.3915" "228725_x_at" "ENSG00000160310"
"228822_s_at.3926" "228822_s_at" "ENSG00000156256"
"228908_s_at.3937" "228908_s_at" "ENSG00000223768"
"228909_at.3948" "228909_at" "ENSG00000223768"
"229040_at.3981" "229040_at" "ENSG00000227039"
"229041_s_at.1" "229041_s_at" "ENSG00000227039"
"229127_at.4004" "229127_at" "ENSG00000154721"
"229357_at.4015" "229357_at" "ENSG00000154736"
"229437_at.4026" "229437_at" "ENSG00000234883"
"230042_at.4048" "230042_at" "ENSG00000205726"
"230093_at.4059" "230093_at" "ENSG00000160188"
"230097_at.1" "230097_at" "ENSG00000159131"
"230269_at.1" "230269_at" "ENSG00000183778"
"230394_at.1" "230394_at" "ENSG00000242220"
"230394_at.2" "230394_at" "ENSG00000265590"
"230470_at.1" "230470_at" "ENSG00000230366"
"230470_at.2" "230470_at" "ENSG00000242553"
"230585_at.4128" "230585_at" "ENSG00000157551"
"230631_s_at.1" "230631_s_at" "ENSG00000223799"
"230632_at.4151" "230632_at" "ENSG00000223799"
"230777_s_at.1" "230777_s_at" "ENSG00000141956"
"231245_s_at.4198" "231245_s_at" "ENSG00000267857"
"231303_at.4209" "231303_at" "ENSG00000185433"
"231454_at.4220" "231454_at" "ENSG00000280109"
"231491_at.4231" "231491_at" "ENSG00000225298"
"231860_at.4241" "231860_at" "ENSG00000185658"
"231931_at.4272" "231931_at" "ENSG00000141956"
"231960_at.4283" "231960_at" "ENSG00000185658"
"232191_at.1" "232191_at" "ENSG00000233056"
"232196_at.1" "232196_at" "ENSG00000157578"
"232390_at.4340" "232390_at" "ENSG00000154654"
"232411_at.4351" "232411_at" "ENSG00000157542"
"232536_at.4384" "232536_at" "ENSG00000160233"
"232549_at.4395" "232549_at" "ENSG00000185272"
"232740_at.4406" "232740_at" "ENSG00000215424"
"232755_at.4417" "232755_at" "ENSG00000184787"
"232804_at.4428" "232804_at" "ENSG00000234380"
"233371_at.4459" "233371_at" "ENSG00000243064"
"233387_s_at.4470" "233387_s_at" "ENSG00000160299"
"233753_at.4492" "233753_at" "ENSG00000156304"
"233818_at.4503" "233818_at" "ENSG00000198862"
"233819_s_at.4514" "233819_s_at" "ENSG00000198862"
"233901_at.4525" "233901_at" "ENSG00000261610"
"233952_s_at.4536" "233952_s_at" "ENSG00000173276"
"234315_at.1" "234315_at" "ENSG00000248476"
"234524_at.4559" "234524_at" "ENSG00000141956"
"234730_s_at.4604" "234730_s_at" "ENSG00000183421"
"235044_at.4648" "235044_at" "ENSG00000166265"
"235368_at.4659" "235368_at" "ENSG00000154736"
"235824_at.4681" "235824_at" "ENSG00000233236"
"236061_at.1" "236061_at" "ENSG00000141956"
"236449_at.4726" "236449_at" "ENSG00000160213"
"236910_at" "236910_at" "ENSG00000154719"
"236988_x_at.1" "236988_x_at" "ENSG00000160255"
"237139_at.1" "237139_at" "ENSG00000160191"
"237268_at.4783" "237268_at" "ENSG00000171587"
"237326_at.4794" "237326_at" "ENSG00000227456"
"237351_at.4805" "237351_at" "ENSG00000232079"
"237697_at.4827" "237697_at" "ENSG00000159216"
"237853_x_at.1" "237853_x_at" "ENSG00000189169"
"238428_at.1" "238428_at" "ENSG00000157551"
"238541_at.4888" "238541_at" "ENSG00000160298"
"238890_at.4910" "238890_at" "ENSG00000185658"
"238926_at.4921" "238926_at" "ENSG00000237989"
"238965_at.4932" "238965_at" "ENSG00000184441"
"239155_at.1" "239155_at" "ENSG00000154639"
"239308_at.1" "239308_at" "ENSG00000157540"
"239407_at.4999" "239407_at" "ENSG00000238197"
"239464_at.5010" "239464_at" "ENSG00000157551"
"239602_at.5021" "239602_at" "ENSG00000255568"
"239994_at.5032" "239994_at" "ENSG00000183778"
"239999_at.5043" "239999_at" "ENSG00000215386"
"240068_at.5054" "240068_at" "ENSG00000226496"
"240218_at.5065" "240218_at" "ENSG00000171587"
"240255_at" "240255_at" "ENSG00000279064"
"240406_at.5135" "240406_at" "ENSG00000273254"
"240801_at.5182" "240801_at" "ENSG00000232560"
"240809_at.5193" "240809_at" "ENSG00000237232"
"240814_at.1" "240814_at" "ENSG00000280081"
"240920_at.1" "240920_at" "ENSG00000224100"
"240967_at.1" "240967_at" "ENSG00000244025"
"241224_x_at.1" "241224_x_at" "ENSG00000198054"
"241926_s_at.5274" "241926_s_at" "ENSG00000157554"
"241937_s_at.5285" "241937_s_at" "ENSG00000160193"
"242178_at.1" "242178_at" "ENSG00000188992"
"242798_at.1" "242798_at" "ENSG00000236519"
"242913_at.5366" "242913_at" "ENSG00000159212"
"243027_at.5377" "243027_at" "ENSG00000183067"
"243098_at.1" "243098_at" "ENSG00000231324"
"243656_at.1" "243656_at" "ENSG00000215447"
"243750_x_at.1" "243750_x_at" "ENSG00000160256"
"244088_at.5443" "244088_at" "ENSG00000273492"
"244369_at.1" "244369_at" "ENSG00000159079"
"244822_at.1" "244822_at" "ENSG00000159131"
"35776_at.3226" "35776_at" "ENSG00000205726"
"54051_at.3242" "54051_at" "ENSG00000160199"
