"probeID" "Ensembl"
"219280_at.2760" "219280_at" "ENSG00000185658"
"219482_at.2182" "219482_at" "ENSG00000185917"
"219535_at.1240" "219535_at" "ENSG00000142149"
"219600_s_at.1" "219600_s_at" "ENSG00000142188"
"219723_x_at.3709" "219723_x_at" "ENSG00000160216"
"219767_s_at.1830" "219767_s_at" "ENSG00000205758"
"219867_at.580" "219867_at" "ENSG00000154645"
"219935_at.863" "219935_at" "ENSG00000154736"
"220139_at.1" "220139_at" "ENSG00000142182"
"220177_s_at.3244" "220177_s_at" "ENSG00000160183"
"220311_at.1" "220311_at" "ENSG00000156239"
"220330_s_at.405" "220330_s_at" "ENSG00000155307"
"220372_at.1679" "220372_at" "ENSG00000177692"
"220418_at.3277" "220418_at" "ENSG00000160185"
"220419_s_at.448" "220419_s_at" "ENSG00000155313"
"220459_at.4671" "220459_at" "ENSG00000215424"
"220543_at.1471" "220543_at" "ENSG00000205929"
"220604_x_at.4539" "220604_x_at" "ENSG00000160282"
"220826_at.1350" "220826_at" "ENSG00000186842"
"220941_s_at.569" "220941_s_at" "ENSG00000154642"
"221017_s_at.4005" "221017_s_at" "ENSG00000160233"
"221095_s_at.1969" "221095_s_at" "ENSG00000159197"
"221158_at.1438" "221158_at" "ENSG00000159086"
"221211_s_at.1050" "221211_s_at" "ENSG00000156265"
"221215_s_at.3080" "221215_s_at" "ENSG00000183421"
"221328_at.1127" "221328_at" "ENSG00000156282"
"221632_s_at.3365" "221632_s_at" "ENSG00000160193"
"221689_s_at.1" "221689_s_at" "ENSG00000185808"
"221883_at.3457" "221883_at" "ENSG00000160199"
"221975_s_at.1" "221975_s_at" "ENSG00000184441"
"222079_at.2629" "222079_at" "ENSG00000157554"
"222162_s_at.819" "222162_s_at" "ENSG00000154734"
"222310_at.1218" "222310_at" "ENSG00000156304"
"222311_s_at.1229" "222311_s_at" "ENSG00000156304"
"222446_s_at.2997" "222446_s_at" "ENSG00000182240"
"222486_s_at.830" "222486_s_at" "ENSG00000154734"
"222492_at.3636" "222492_at" "ENSG00000160209"
"222616_s_at.995" "222616_s_at" "ENSG00000156256"
"222733_x_at.1" "222733_x_at" "ENSG00000160214"
"222907_x_at.1" "222907_x_at" "ENSG00000142188"
"223167_s_at.459" "223167_s_at" "ENSG00000155313"
"223182_s_at.3734" "223182_s_at" "ENSG00000160216"
"223184_s_at.3745" "223184_s_at" "ENSG00000160216"
"223360_at.4605" "223360_at" "ENSG00000160284"
"223702_x_at.4553" "223702_x_at" "ENSG00000160282"
"223768_at.4179" "223768_at" "ENSG00000235374"
"223923_at.1460" "223923_at" "ENSG00000279690"
"223948_s_at.3266" "223948_s_at" "ENSG00000160183"
"223949_at.3255" "223949_at" "ENSG00000160183"
"223951_at.437" "223951_at" "ENSG00000279390"
"223979_x_at.4540" "223979_x_at" "ENSG00000160282"
"224054_at.1" "224054_at" "ENSG00000273115"
"224282_s_at.3702" "224282_s_at" "ENSG00000160216"
"224299_x_at.4554" "224299_x_at" "ENSG00000160282"
"224300_x_at.4541" "224300_x_at" "ENSG00000160282"
"225182_at.1647" "225182_at" "ENSG00000142188"
"225440_at.3723" "225440_at" "ENSG00000160216"
"225446_at.2782" "225446_at" "ENSG00000185658"
"225539_at.3158" "225539_at" "ENSG00000173276"
"225661_at.1604" "225661_at" "ENSG00000142166"
"225669_at.1615" "225669_at" "ENSG00000142166"
"226082_s_at.1196" "226082_s_at" "ENSG00000156304"
"226109_at.558" "226109_at" "ENSG00000154642"
"226151_x_at.1" "226151_x_at" "ENSG00000205758"
"226209_at.3391" "226209_at" "ENSG00000160194"
"226374_at.514" "226374_at" "ENSG00000154639"
"226465_s_at.1773" "226465_s_at" "ENSG00000159140"
"226553_at.3054" "226553_at" "ENSG00000184012"
"226616_s_at.3387" "226616_s_at" "ENSG00000160194"
"226882_x_at.1" "226882_x_at" "ENSG00000160193"
"226995_at.4297" "226995_at" "ENSG00000223768"
"227051_at.3008" "227051_at" "ENSG00000182240"
"227125_at.1538" "227125_at" "ENSG00000159110"
"227188_at.1339" "227188_at" "ENSG00000166979"
"227194_at.3019" "227194_at" "ENSG00000183844"
"227199_at.4764" "227199_at" "ENSG00000160305"
"227421_at.4709" "227421_at" "ENSG00000182362"
"227424_x_at.1328" "227424_x_at" "ENSG00000256073"
"227428_at.732" "227428_at" "ENSG00000154727"
"227519_at.2963" "227519_at" "ENSG00000280109"
"227742_at.2046" "227742_at" "ENSG00000159212"
"228001_at.1626" "228001_at" "ENSG00000142188"
"228170_at.1504" "228170_at" "ENSG00000184221"
"228597_at.1262" "228597_at" "ENSG00000159055"
"228665_at.797" "228665_at" "ENSG00000166265"
"228722_at.4830" "228722_at" "ENSG00000160310"
"228725_x_at.4786" "228725_x_at" "ENSG00000160310"
"228822_s_at.1007" "228822_s_at" "ENSG00000156256"
"228908_s_at.4308" "228908_s_at" "ENSG00000223768"
"228909_at.4319" "228909_at" "ENSG00000223768"
"228976_at.3809" "228976_at" "ENSG00000160223"
"229040_at.4145" "229040_at" "ENSG00000227039"
"229041_s_at.4149" "229041_s_at" "ENSG00000227039"
"229127_at.699" "229127_at" "ENSG00000154721"
"229357_at.841" "229357_at" "ENSG00000154736"
"229437_at.656" "229437_at" "ENSG00000234883"
"230042_at.1900" "230042_at" "ENSG00000205726"
"230093_at.3288" "230093_at" "ENSG00000160188"
"230097_at.1" "230097_at" "ENSG00000159131"
"230269_at.2876" "230269_at" "ENSG00000183778"
"230585_at.2618" "230585_at" "ENSG00000157551"
"230631_s_at.1553" "230631_s_at" "ENSG00000223799"
"230632_at.1549" "230632_at" "ENSG00000223799"
"230777_s_at.3102" "230777_s_at" "ENSG00000141956"
"231245_s_at.4190" "231245_s_at" "ENSG00000267857"
"231303_at.645" "231303_at" "ENSG00000185433"
"231454_at.2952" "231454_at" "ENSG00000280109"
"231491_at.874" "231491_at" "ENSG00000225298"
"231860_at.2738" "231860_at" "ENSG00000185658"
"231931_at.3109" "231931_at" "ENSG00000141956"
"231960_at.2727" "231960_at" "ENSG00000185658"
"232191_at.3409" "232191_at" "ENSG00000233056"
"232196_at.1" "232196_at" "ENSG00000157578"
"232390_at.634" "232390_at" "ENSG00000154654"
"232411_at.2533" "232411_at" "ENSG00000157542"
"232536_at.4016" "232536_at" "ENSG00000160233"
"232549_at.361" "232549_at" "ENSG00000185272"
"232740_at.4660" "232740_at" "ENSG00000215424"
"232755_at.4067" "232755_at" "ENSG00000184787"
"232804_at.2057" "232804_at" "ENSG00000234380"
"232957_x_at" "232957_x_at" "ENSG00000236830"
"233371_at.372" "233371_at" "ENSG00000243064"
"233387_s_at.4731" "233387_s_at" "ENSG00000160299"
"233753_at.1207" "233753_at" "ENSG00000156304"
"233818_at.951" "233818_at" "ENSG00000198862"
"233819_s_at.940" "233819_s_at" "ENSG00000198862"
"233901_at.1251" "233901_at" "ENSG00000261610"
"233952_s_at.3169" "233952_s_at" "ENSG00000173276"
"234315_at.1086" "234315_at" "ENSG00000248476"
"234524_at.1" "234524_at" "ENSG00000141956"
"234730_s_at.3091" "234730_s_at" "ENSG00000183421"
"235044_at.808" "235044_at" "ENSG00000166265"
"235368_at.852" "235368_at" "ENSG00000154736"
"235824_at.613" "235824_at" "ENSG00000233236"
"236061_at.3124" "236061_at" "ENSG00000141956"
"236449_at.3658" "236449_at" "ENSG00000160213"
"236910_at" "236910_at" "ENSG00000154719"
"236988_x_at.1" "236988_x_at" "ENSG00000160255"
"237139_at.1" "237139_at" "ENSG00000160191"
"237268_at.2919" "237268_at" "ENSG00000171587"
"237326_at.1958" "237326_at" "ENSG00000227456"
"237351_at.885" "237351_at" "ENSG00000232079"
"237697_at.2171" "237697_at" "ENSG00000159216"
"238428_at.2599" "238428_at" "ENSG00000157551"
"238541_at.4720" "238541_at" "ENSG00000160298"
"238890_at.2716" "238890_at" "ENSG00000185658"
"238926_at.3559" "238926_at" "ENSG00000237989"
"238965_at.3956" "238965_at" "ENSG00000184441"
"239155_at.503" "239155_at" "ENSG00000154639"
"239308_at.1" "239308_at" "ENSG00000157540"
"239407_at.1443" "239407_at" "ENSG00000238197"
"239464_at.2607" "239464_at" "ENSG00000157551"
"239602_at.2793" "239602_at" "ENSG00000255568"
"239994_at.2865" "239994_at" "ENSG00000183778"
"239999_at.470" "239999_at" "ENSG00000215386"
"240068_at.2941" "240068_at" "ENSG00000226496"
"240218_at.2908" "240218_at" "ENSG00000171587"
"240255_at.197" "240255_at" "ENSG00000279064"
"240406_at.984" "240406_at" "ENSG00000273254"
"240473_at" "240473_at" "ENSG00000225745"
"240801_at.481" "240801_at" "ENSG00000232560"
"240809_at.3180" "240809_at" "ENSG00000237232"
"240814_at.1" "240814_at" "ENSG00000280081"
"240920_at.3420" "240920_at" "ENSG00000224100"
"240967_at.1" "240967_at" "ENSG00000244025"
"241224_x_at.1" "241224_x_at" "ENSG00000198054"
"241926_s_at.2661" "241926_s_at" "ENSG00000157554"
"241937_s_at.3343" "241937_s_at" "ENSG00000160193"
"242178_at.1" "242178_at" "ENSG00000188992"
"242798_at.1" "242798_at" "ENSG00000236519"
"242822_at.326" "242822_at" "ENSG00000280081"
"242913_at.2035" "242913_at" "ENSG00000159212"
"243027_at.2885" "243027_at" "ENSG00000183067"
"243098_at.2304" "243098_at" "ENSG00000231324"
"243656_at.1" "243656_at" "ENSG00000215447"
"243750_x_at.1" "243750_x_at" "ENSG00000160256"
"244088_at.776" "244088_at" "ENSG00000273492"
"244369_at.1372" "244369_at" "ENSG00000159079"
"244822_at.1" "244822_at" "ENSG00000159131"
"35776_at.1870" "35776_at" "ENSG00000205726"
"54051_at.3463" "54051_at" "ENSG00000160199"
